Material_Type,Material_Name,C10_library_LSE,C11_library_LSE,C12_library_LSE,C13_library_LSE,C14_library_LSE,OE_retrieved_LST,C10_OE_retrieved_LSE,C11_OE_retrieved_LSE,C12_OE_retrieved_LSE,C13_OE_retrieved_LSE,C14_OE_retrieved_LSE,OE_retrieved_LST_uncertainty,C10_OE_retrieved_LSE_uncertainty,C11_OE_retrieved_LSE_uncertainty,C12_OE_retrieved_LSE_uncertainty,C13_OE_retrieved_LSE_uncertainty,C14_OE_retrieved_LSE_uncertainty
Urban,Red smooth-faced Brick,0.947410356,0.871258796,0.871258796,0.934274319,0.954415509,307.7113,0.8842336,0.831422,0.8313989,0.8923568,0.9191982,1.4678407,0.029978689,0.026402045,0.024667578,0.021437865,0.02156332
Urban,Construction Asphalt,0.947730315,0.95535171,0.95535171,0.965317295,0.960695153,305.91248,0.9377209,0.9426009,0.9435788,0.9557054,0.9530742,1.439556,0.031204548,0.028412733,0.026593404,0.022189101,0.02192202
Urban,Glossy Black Paint,0.953786807,0.949123889,0.949123889,0.948349465,0.949675988,305.73456,0.945307,0.94002223,0.94047475,0.94282037,0.9435477,1.4326793,0.03147114,0.028454492,0.026618743,0.02206366,0.02180955
Urban,Black tar paper,0.98074033,0.976246086,0.976246086,0.973871519,0.972380428,306.66876,0.9491408,0.9478674,0.94876236,0.9521443,0.9511605,1.4529254,0.031403672,0.028508395,0.026685666,0.022137074,0.021857573
Urban,Lamp (Ebony) Black Paint,0.927107728,0.936697023,0.936697023,0.921333744,0.919085642,304.15018,0.9592537,0.9593881,0.95923287,0.9425295,0.93900394,1.3939842,0.032260515,0.02908434,0.02718437,0.022022983,0.021683088
Urban,Terra cotta Tiles,0.905655107,0.896683599,0.896683599,0.965890672,0.972963636,306.77838,0.8750604,0.8699788,0.87079275,0.9403156,0.94873667,1.450548,0.029930353,0.0273565,0.025563965,0.022214653,0.022087188
Urban,Ultra Flat Black Paint,0.966008489,0.950445924,0.950445924,0.952439484,0.953052633,306.1307,0.94494134,0.9344674,0.93489385,0.9388207,0.9418768,1.4363894,0.031432442,0.028391026,0.026553158,0.022039955,0.021787606
Urban,Construction  Concrete,0.901567088,0.905816574,0.905816574,0.957691535,0.953275265,305.6859,0.8974243,0.899541,0.90041256,0.9491704,0.95135105,1.4357549,0.030406596,0.027741326,0.025955629,0.02222624,0.022042342
Urban,Asphalt roofing shingle,0.970489776,0.922083413,0.922083413,0.954464749,0.959468868,307.12253,0.9189012,0.88957256,0.88965464,0.92033184,0.93412673,1.4480882,0.030893508,0.027763689,0.025954844,0.021921076,0.021784514
Urban,Olive green paint,0.958994944,0.94949016,0.94949016,0.947015647,0.95122886,305.90305,0.94516146,0.9369827,0.9373347,0.9389424,0.94125843,1.433899,0.031486522,0.028434481,0.026594777,0.022040548,0.021788327
Urban,Flat Black Paint,0.941109138,0.940520685,0.940520685,0.917622757,0.923261799,304.6376,0.9601949,0.95312357,0.9527165,0.9324264,0.9327889,1.4013834,0.032347735,0.028979955,0.027056573,0.021912113,0.02159778
Urban,Construction Tar,0.932015016,0.928417855,0.928417855,0.931695871,0.934882418,305.109,0.9392497,0.9321681,0.93233824,0.9370245,0.9389718,1.4172657,0.031452622,0.028381612,0.026516953,0.022045499,0.021797083
Urban,Reddish Asphalt roofing shingle,0.969650613,0.92544687,0.92544687,0.955446559,0.961430836,307.10638,0.919535,0.892889,0.8930518,0.9227189,0.93530077,1.4496701,0.03090814,0.027818704,0.026003832,0.021936854,0.021797938
Urban,Black tar paper,0.940517275,0.937981055,0.937981055,0.947307851,0.950856868,305.73212,0.9331788,0.929038,0.92950165,0.9422459,0.9439253,1.4328446,0.031235723,0.028306944,0.02647666,0.022096097,0.021857845
