,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
0,Baccharis pilularis 3,0.956799237224733,0.951534801140567,0.951534801140567,0.9525825691108112,0.9524058158862704
1,Adenostoma fasciculatum 3,0.9561785315904384,0.9520216406779876,0.9520216406779876,0.9539947487915938,0.9539294543049328
2,Ceanothus megacarpus 1,0.906021462987484,0.8967160968522653,0.8967160968522653,0.8966837100172887,0.8972788950590482
3,Umbellularia californica 3,0.9624345870895028,0.955066662303422,0.955066662303422,0.9572192302087388,0.9555656692806376
4,Baccharis pilularis 2,0.940883844647026,0.9419958987959528,0.9419958987959528,0.9305885030895592,0.931438049675151
5,Heteromeles arbutifolia 2,0.9528614479923028,0.9440233526459316,0.9440233526459316,0.9407368721170104,0.938315055765297
6,Ceanothus spinosus 3,0.92239109433047,0.9387812732831432,0.9387812732831432,0.9417396254801502,0.9489941738414074
7,Ceanothus spinosus 2,0.9517392974709308,0.951513304060532,0.951513304060532,0.9586464117213436,0.9632897262876146
8,Ceanothus megacarpus 3,0.9018638470322574,0.8955635534758378,0.8955635534758378,0.8975361035730924,0.9005334726318502
9,Baccharis pilularis 1,0.931890060455358,0.9250794144187964,0.9250794144187964,0.9254784644219264,0.9267007216174142
10,Arctostaphylos glandulosa 2,0.9049774905998555,0.9038139736413576,0.9038139736413576,0.8928493978639078,0.8941387698408496
11,Arctostaphylos glandulosa 3,0.9606630002067468,0.963005705884136,0.963005705884136,0.9499541693666872,0.9492568367115508
12,Ceanothus spinosus 2,0.943797048382789,0.945501456317708,0.945501456317708,0.9529715592026136,0.957288895575312
13,Arctostaphylos glandulosa 1,0.948104438561589,0.9482375232531676,0.9482375232531676,0.9425991151975794,0.9417354617823716
14,Ceanothus megacarpus 3,0.8433600386504015,0.8419022318968712,0.8419022318968712,0.8460001191519294,0.849866671388052
15,Ceanothus megacarpus 2,0.9619626615320508,0.9555716386826292,0.9555716386826292,0.9551077607432528,0.954064263318278
16,Heteromeles arbutifolia 1,0.9533542850017618,0.947668425236717,0.947668425236717,0.9487397264978936,0.947488605452803
17,Umbellularia californica 1,0.9601754173390632,0.9501508897489692,0.9501508897489692,0.950096346937892,0.9469970040383288
18,Ceanothus megacarpus 2,0.93909773960916,0.9336170619633516,0.9336170619633516,0.9351575355671676,0.9355408274073328
19,Heteromeles arbutifolia 2,0.9517489254753972,0.9452240469040496,0.9452240469040496,0.9473954403683136,0.948227633315154
20,Umbellularia californica 1,0.9538735510946322,0.9426253657863408,0.9426253657863408,0.940107935388314,0.9334635746005356
21,Adenostoma fasciculatum 1,0.8725905485267879,0.8686914954013998,0.8686914954013998,0.8725256040258507,0.8731153918485063
22,Arctostaphylos glandulosa 1,0.8747009421945415,0.8746275546540496,0.8746275546540496,0.8679648632915472,0.8682150248203668
23,Ceanothus spinosus 1,0.925173962227267,0.9223697163785464,0.9223697163785464,0.9298176012367096,0.930597652822859
24,Baccharis pilularis 2,0.9136234835278256,0.9048524905967026,0.9048524905967026,0.910421101311857,0.9110434270991632
25,Umbellularia californica 3,0.9201808411661166,0.9138516038611322,0.9138516038611322,0.9140370148457674,0.9140301581575832
26,Umbellularia californica 2,0.9485410415376174,0.9354436493118728,0.9354436493118728,0.9370059262254544,0.9436932557481764
27,Heteromeles arbutifolia 1,0.9528054254078224,0.9459229958477536,0.9459229958477536,0.9481668476983964,0.9498355144500864
28,Ceanothus spinosus 1,0.924833953615496,0.924471007538474,0.924471007538474,0.9306800443454296,0.9331753773136996
29,Baccharis pilularis 3,0.9177212238569796,0.9130601815097672,0.9130601815097672,0.9141560016965228,0.915745751035616
30,Adenostoma fasciculatum 2,0.9032027604889844,0.9026848430204752,0.9026848430204752,0.9025866136307324,0.9035780918455056
31,Heteromeles arbutifolia 3,0.9534600505041566,0.9475267631934606,0.9475267631934606,0.9497660625675431,0.9513295374101394
32,Heteromeles arbutifolia 3,0.9361541396997424,0.9376181174673516,0.9376181174673516,0.933572196850493,0.933337885896031
33,Baccharis pilularis 2,0.946248113100994,0.9407716454559892,0.9407716454559892,0.943648818323128,0.9439980828660486
34,Ceanothus megacarpus 1,0.9432274205150812,0.93744681363848,0.93744681363848,0.9406902469125704,0.9426960055182846
35,Adenostoma fasciculatum 3,0.9397560110927338,0.9359826097164464,0.9359826097164464,0.9370333242918004,0.9381355551466632
36,Ceanothus spinosus 3,0.9357517665675033,0.9381976392735448,0.9381976392735448,0.941056213792546,0.9435383351557
37,Baccharis pilularis 1,0.9322522832777986,0.9228596724761317,0.9228596724761317,0.9270074699555624,0.927147742952781
38,Abies concolor 1,0.9638376908225308,0.9609417680234956,0.9609417680234956,0.9623516182912286,0.9623109830321356
39,Abies concolor 2,0.9503442228409432,0.9462563090570733,0.9462563090570733,0.9476254517716188,0.9488446519544772
40,Quercus douglasii 2,0.952256420133766,0.9523024736655644,0.9523024736655644,0.9384712615647608,0.9412874745751196
41,Quercus douglasii 3,0.9508674961788032,0.9510731649012344,0.9510731649012344,0.9351319605914588,0.936351945881452
42,Quercus agrifolia 3,0.9326052985762624,0.9307708211059172,0.9307708211059172,0.9324709572130676,0.9330095116190203
43,Quercus lobata 1,0.957815254797412,0.9565088648581146,0.9565088648581146,0.934416537198597,0.9356581451486222
44,Quercus agrifolia 2,0.958560306512285,0.9554923520618028,0.9554923520618028,0.9550158674401557,0.9558870133266616
45,Quercus agrifolia 1,0.9495928098628714,0.9451790625343588,0.9451790625343588,0.9462385807076932,0.9470782875403084
