,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
0,Adenostoma fasciculatum 1,0.9794051915666586,0.977999495373347,0.977999495373347,0.9778982081236108,0.9784550149804704
1,Abies concolor 3,0.972004326387336,0.9686924361066708,0.9686924361066708,0.9693485738984272,0.968928333077408
2,Pinus ponderosa 2,0.9749916671158247,0.9718438791581848,0.9718438791581848,0.9732611736918318,0.974073648924848
3,Abies concolor 2,0.97589479902113,0.9746535958444054,0.9746535958444054,0.9749086964277256,0.9749676752648831
4,Pinus lambertiana 2,0.9784120038718782,0.9738120698520312,0.9738120698520312,0.9739769625800508,0.9742968325020166
5,Pinus ponderosa 3,0.9798177582204002,0.9772950342898536,0.9772950342898536,0.9766357388854412,0.9766596924260156
6,Arctostaphylos glandulosa 1,0.9716773792863774,0.9686619938021718,0.9686619938021718,0.968135450033518,0.967728601583032
7,Pinus ponderosa 1,0.968582302520542,0.9652726537907969,0.9652726537907969,0.9659691415315124,0.965428278203438
8,Pinus lambertiana 1,0.975733684382004,0.9708924371111368,0.9708924371111368,0.971455664474274,0.9720002047316224
9,Abies concolor 1,0.9734736103955864,0.9700881601300196,0.9700881601300196,0.9705357484654442,0.970236868825796
10,Arctostaphylos glandulosa 3,0.9694741073965502,0.9657514504673708,0.9657514504673708,0.96686971987607,0.9678131641797764
11,Pinus ponderosa 2,0.9731401850907352,0.9695649125820256,0.9695649125820256,0.9711215574406566,0.9727293018483122
12,Pinus ponderosa 1,0.9792798754893144,0.9766360780253098,0.9766360780253098,0.9751576315478266,0.9753749872434346
13,Pinus ponderosa 3,0.9707035864386928,0.9675553828984644,0.9675553828984644,0.9663731505771344,0.965062605816394
14,Pinus lambertiana 2,0.9779391613800072,0.9741022532621398,0.9741022532621398,0.974260638895222,0.9748848530060664
15,Baccharis pilularis 2,0.9694367003803498,0.9702478073497068,0.9702478073497068,0.967930540975388,0.9706167831083836
16,Adenostoma fasciculatum 2,0.9754508125393182,0.9725127995877164,0.9725127995877164,0.973647258132182,0.97441718990206
17,Baccharis pilularis 3,0.977014598078461,0.9748975917559564,0.9748975917559564,0.9754893883418414,0.9772779246908154
18,Adenostoma fasciculatum 3,0.9755587549494557,0.971606121000177,0.971606121000177,0.9727834794087866,0.973916845346832
19,Umbellularia californica 2,0.9699528069949624,0.9699198081559948,0.9699198081559948,0.9683614265718824,0.9707558205149928
20,Ceanothus megacarpus 1,0.9796913136108624,0.9794734897374768,0.9794734897374768,0.978564153062619,0.980632942530592
21,Baccharis pilularis 3,0.9762868608665992,0.9763040426916256,0.9763040426916256,0.9732986429248898,0.975088701574913
22,Adenostoma fasciculatum 1,0.978334061505986,0.9756768569300706,0.9756768569300706,0.9758207791463336,0.9774652575096504
23,Pinus lambertiana 1,0.9743492543839184,0.9696287444624272,0.9696287444624272,0.9706425203553768,0.9721633520423744
24,Abies concolor 1,0.9750626037997984,0.9719943493117368,0.9719943493117368,0.9731208541198272,0.973130701831721
25,Arctostaphylos glandulosa 1,0.9703774634814242,0.9678442214232744,0.9678442214232744,0.968003310151838,0.9689315524620924
26,Pinus ponderosa 1,0.9737577306353806,0.9708611855552324,0.9708611855552324,0.9704190416622788,0.9688014536836512
27,Arctostaphylos glandulosa 1,0.9720307907987188,0.969522160281142,0.969522160281142,0.9694606841028858,0.9711992340501014
28,Arctostaphylos glandulosa 3,0.9688992163931762,0.9675918671308328,0.9675918671308328,0.9669878413945427,0.9676256845037956
29,Abies concolor 3,0.969314876720142,0.9657579474546508,0.9657579474546508,0.9662425723961632,0.9671870082346256
30,Pinus ponderosa 3,0.9706191984697516,0.9687559821847502,0.9687559821847502,0.9685532219824098,0.9676639191822386
31,Arctostaphylos glandulosa 3,0.9709427447738092,0.9697979408306032,0.9697979408306032,0.970772860174553,0.9703676334166416
32,Pinus lambertiana 3,0.9796579885943304,0.9752018601493396,0.9752018601493396,0.9755870038071226,0.9760579873440398
33,Pinus ponderosa 2,0.9740244382237148,0.9685242346261236,0.9685242346261236,0.9713643162702942,0.9726656635046624
34,Abies concolor 2,0.9730716750478252,0.9699683790041216,0.9699683790041216,0.9702786313750388,0.970880107201922
35,Abies concolor 3,0.9754373722191744,0.9724310355866106,0.9724310355866106,0.972899325378284,0.972855374141105
36,Pinus lambertiana 1,0.9713590436469182,0.9651388842415984,0.9651388842415984,0.9667226531769588,0.9668576929634592
37,Pinus lambertiana 2,0.972141330464352,0.9706502145214148,0.9706502145214148,0.9675075192051628,0.9700715677382006
38,Pinus strobus,0.973517876037958,0.9695770517196056,0.9695770517196056,0.9683003259314088,0.97080836729642
39,Tsuga canadensis,0.974964067346384,0.9712110280666876,0.9712110280666876,0.9674749390148104,0.9666390072162184
40,Rubus occidentalis,0.9728957578760902,0.973589852719004,0.973589852719004,0.9747262896419068,0.980923506431674
41,Tsuga canadensis,0.9776299988576632,0.9711769930442974,0.9711769930442974,0.9720412944659892,0.9737557696299318
42,Bromus diandrus,0.97742609303044,0.969735959076055,0.969735959076055,0.9679443463812276,0.9705594715965904
43,Laurel leaf,0.9759971825837724,0.9747693399827132,0.9764346781566292,0.9725844732876704,0.9710379020022228
44,Leaf of Laurel (Fresh),0.9759037554880348,0.9731389456580885,0.973856554633084,0.9705810656437616,0.9711873264481744
45,Leaf of Oak (Face),0.9751932041503332,0.9708190568252724,0.9699978183682374,0.9695766304121628,0.9713083373705348
46, Leaf of Brazilian Peppertree (schinus terebinthifdias),0.9726796214972896,0.9714137614195146,0.9684225997773382,0.9706488644668544,0.9708744943219992
