Datetime,ASTER,GBB
2455855.889,323.629,320.7
2456143.889,303.406,295.95
2456216.885,318.819,318.91
2456303.889,315.931,316.81
2457128.885,309.181,307.05
2457311.89,320.11,317.38
2458063.89,314.24,317.18
